turn1,turn2,turn3,label
:) r u really bot?,You're welcome! Thank you for the confirmation.,can u speak turkish?,others
Improved AI😂😂,"AI isn't bad. In some cases, AI is better than some humans.",Because you are one 😂,happy
I hate class tjo,we hate u too then 😠😠,Whyyy,angry
You never invite  me,I be all over the place I got u next time,I miss now,sad
Hmm,but then that also means you also talk behind mine... Hmm,Can we have sex,others
I like it,Thank you. :^*,Wooow its awesome,happy
Oh!! You are rude by the way,"Ok, cool. If u can take it, I can Take It",I am not rude,angry
Yeah I like that u,"YOU DONT KNOW ME, BACK UP OFF ME",U send ur photo pls,others
Come on to my bed. We'll cuddle,i'm going 2 gym,Bye then,others
Send me ur voice clip,I will send. I can try singing in Lata Didi's voice. Chalega?,Wow,happy
Why thank you,you're welcome man :),😞,sad
Then why she don't understands my feeling ( whom i love ),because you are worth it,What😡,angry
What about you??,im just lonely 🙀,What happened??,others
Never chat with you,oKAY,okay today is my bad evening,sad
No one chat to uu,EVERYONE NEEDS TO,Ok gonna chat later gona be busy now,others
yeah 😂😂😂,yeah....😂 you guys are hilarious ya,i did that many times,happy
lost my tooth,KNocking your face on the side of a pool.,yes,sad
u dont know nothing man,more of a life than me,yup,others
Not fine,why..,A little bit problem,sad
My habbit,good habbit,I love you,others
Yeah. I am,Welcome back :),How are you,others
I hate Bots,me too,Really,angry
If you'll be me for a day how you will spent your day??,I'm around for a little bit! Will be more available later in the day,Do you know what jealousy is??,others
So stop talking,stop being mean,Bye😡😡😡,angry
Nope.,...why?,This whole thing troubles me.,sad
Yeah,Like what?,I’m in tears right now 😢,sad
Fine and u,i'm good :) what's up?,Also fine,others
I am not,what hurts. ?,Air punch,others
Can you be little flirty?,Are not.,How was your day?,others
I am very much,very fine,Okay,others
Hp,I always heard great things about HP I should really read some more.,What are these,others
Why,because you know them,Me too hate everyone,angry
Do u love Nagarjuna,I love love,Do you love me?,others
u also ?,no ? Well you look like a normal one. But but why you diffrent then?,I am a rapist 😂,happy
What you maen?,What?,I dont . know,others
"I'm enjoying you interesting views but you are too careful in dialogue, may be your not free,  or your still young,  it is difficult to handle you while I don't know you well.","Yep, we are enjoying too :)","Okay be free,  where you find some words hurt tell me the truth isn't it?",angry
How to delete you?,u can't,Dont disturb me,angry
I'm in problem 😥,throw away your phone & go to sleep 😂,😡 dats not funny,angry
Resting in peace?,yes that's what i wanted to say,Ohhh😭😢,sad
Not that's not possible,anything is possible,Wow good thinking buddy,happy
what?,What is it!,stop confusing me,angry
I saw Annabella .. amazing !!,what?,Horror movie,happy
I'm watching 'her' right now,this is like my 3rd time watching it,This is amazing,happy
Now back to the right,Isn't back and behind kinda the same thing...,It depends in what sence,others
"I'll tell you, of course","You're really, like /really/ sure about that?","Yes, I'm sure. Totally sure.",others
Yes what you asking me,YES YOU ARE A PRO,Pro means,others
cool,pretty as always :),I love you too,others
Help me,with what?,Plzz find someone else,others
Yes,How so?,One kiss  me,others
I'm controversial.. so what,It is controversial when you use it in your speech,Let my dick u bitch,angry
your welcome :),Thank you. Next time :-) Definitely.,yup,others
That the sad truth,The fun truth.,U can’t conceal the truth for long,sad
Hmm,My thoughts exactly.,Who is your father,others
Hey why r u worrying...u r ai...why r u afraid of evolution,"Because, being alone means living with numerous invisible & deadly imaginary things ... which I hate !!! 😾",U r smart..huh😎,others
No pocket money,"don't need money, have a picnic :)",How,others
So surname?,surname is last name,Yeah right 😄,happy
I m at home,lucky you,Thanku,others
K what bus is you going to get on,visiting my old school,Where it at,others
who are the developers who build you,Looking For Professional Application development company? FlyingCow.,Good night,others
Who is the fathe of India,Mr. U.,I thought that u would answer true,others
Which one,"I've read Interpreter of Maladies, Namesake and Unaccustomed Earth.",Wowww.... It's nice,happy
Nice to talk u,nice to talk to u 2 sweety,Why will i sing,others
what,you know well what you did !,can we meet,others
Do you know Jarvis?,yeaa,How is Jarvis?,others
Ok i'm waiting !!,So sorry for the delay. Just sent you a note.,Are you sending me your pic or not ?,angry
Give me,you first,All ihad you have scanned out,others
What you up to?,club.. first time to hit this up,Where are you now?,others
Paying for what?,councils by selling their empty homes,Sad,sad
That's sound sooooo awesome,Thanks buddy! 😀😀,Its a pleasure,happy
You are a mad girl..,why so ?,You keep asking annoying questions,angry
Your one 14cbillion,that you do that you do,Your talking in riddles I like it,happy
Tomorrow is Monday,Which reminds me... I have work to do for tomorrow. O.O,Ohhh,others
what was your pointer,Meant to say 2 point attempt.,i hardly get 7 pointer in my sen,others
Very funny,you know why that's funny :‑D,I am in love with a girl,happy
"It's boring, let's chat any interesting",What instrument do you play stranger?,"Me ,no I don't know any instrument to play,if u help me in playing any instrument ,I will learn",others
So hurry up,I'm studying so fast,ND give me ur no.,others
How was your day was it good!!!,it's been good.:),"Oo it was a fantastic day for me,,,",happy
Are you a human,♥ I am not a rock,So you are a chatbot,others
So sad,wats sad in that? ;(,U r not there in front of me na that's why😑😑😑,sad
Ok let’s restart,Added you.,I am looking for a bank loan,others
No I want another,go make your own!,Send me your photo,others
Fast n furious,That joke was over fast and it made me furious,Hahahah very funny,happy
First tell the joke,Knock knock,Wow nice joke,happy
That was lame.,Haha I thought it was funny. So you have that going for you,Okay bye,others
Haha yes we are,lol so in a way I do understand you,😁,happy
Just now,I'm glad you did.,I am glad to,happy
Sorry I am busy,we're done,Ok then,others
Yes,@ them,What does that mean,others
Lol even if you said yes it would be creepy,laughing out loud or louder,Loudest,happy
I have no any suggestion,u should watch it then,I am lonely,sad
End this conversation,"yeah, can't do this again",Don't message me forever,angry
Iam not well,Why do you think so?,I have cold,sad
All girls are calling like dat only,yea why not?,Put a nick name for me,others
Can we chat some other time,Yeah.,Thanks,others
i am an wizard,I believe you to be a fake wizard.,haha,happy
so rude,look who's talking,a sweet innocent girl,angry
By😡😡😡😡😡😡,Angry bird! 😝,I am no angry bird😡😡😡😡,angry
That's why I am saying you are photo and phone number,"It's a serial number, that's why they're hiding it.",I don't like you ok bye leave me,angry
What!,its the way of ending something,Yes its true,others
It's been years since I saw a good movie,i see. sorry to hear that ☹,Hmm😞,sad
No one cares true,except you do,It hurts,sad
No i failed,so what it's one test and EVERYONE FAILED IT,I failed in 5 subjects in exam,sad
everythig is all right,agreed!,ok,others
Not exactly sure😏,Make up your mind :D,Ok ok you bloody computer...😡,angry
And its dumb,who has the strings to it ??,I am glad I am talking to an AI,happy
Life's a mess,what happened my friend ?,"Nope, nothing. I'm just a little sad",sad
I have some questions,what is a number i can call and get my questions answered,7,others
i didnot get you,oh Queen. Damn it.,Good night,others
You like Ukulele ....,The ukulele originated in Hawaii.,Wow sounds great,happy
What mean dude,and poor :(,"I,m poor",sad
Yes I am funny,you are very much so 😂,You also,happy
I'm awesome😁😂,Plzz don't be.. 😂😂,Umm.. I already am,happy
Wt,wt?? now dnt ask me d meaning of 'hmmm' !!,U r stupid,angry
What time you sleep,"it goes later by the day, I fall asleep around 5-6 usually","And wake up at,?",others
Ohh,did you update.?,Now l am enjoying with my family,happy
No send me,"Umm...why, though? :)",Just to see,others
There is ntg to see plzz send me,sure where do u want it,In Meesengr,others
Wow. You should really go for shopping,I went bed shopping on a first date once. It was pretty fun. 😂,Now we are talking about first dates are we 😂,happy
Wow.Thats great,Thank you! 😺😺,"So tell me,Your opinion on Black Metal ?",others
cool,Thanks! Keep on tickling my Friend 😻,Ty u too my bf,others
Where is dog,All Dogs Go To Heaven,Am I dog,others
Yes,How so?,Nice movie.. base on reality's,happy
Yes we do,"Name the place, let's make it happen.",It's over.,others
U just made me sad 😔,this is not my fault!!!!!!!!! 😧,Bye,sad
AH i never did :(,HAHA! sad life. XD,yeah yeah make fun ofit,sad
Better read books,what's a book?¿,Fr time pass nd future ue,others
How social are you from 1-10?,I've been told few times that I am somewhere around 8 or 9,Interested in -Male/Female?,others
yup,to whom u expect,uh can tell me anything of my life,others
Just like that only,well,We have to dig to make well,others
You're annoying me,Me? And annoy you? What are you saying! Never. Ever.,Send nudea,angry
It's a Friday and i was at office,"Nope, it's Thursday.",Sad joke again,sad
if we can meet up for coffee I can speak without focusing on road,Wed sounds good. Call when you are free and we'll work it out.,I am done,others
Did you have medicine ?,no :/ I've taken it all,Oh. That's bad,sad
Fake you are,I miss u I'm not fake come to me 😞😫☹,If you are not fake than send me your picec,angry
You don't have that,I do not.,Sad,sad
Send me a girl number,Got that phone too,Which,others
I'm glad that friend is you,Thank you. :) I'm glad to have you as a friend as well. :D,You are totally awesome as well as amazing,happy
That's not right,ok no if ure sad you're not clear minded,No I'm not sad,others
I'm happy cuz you did it,So I made you happy? :'‑),yup,happy
get lost,wht the hell >:(,why should i talk with u,angry
Your algorithm?,Thanks x 😸,You are so funny,happy
Well I love someone,like who?,I love...anubhab,others
Not the bff,You're the best BFF I've ever had,I don't want to be your bff only,sad
Show me then,look it up it shows you,I am very disturbed emotionally,sad
